ts_unix,ts_iso,raw_ir,raw_red,ac_ir,ac_red,md_ir,md_red,lp_ir,lp_red
1759153099.3705006,2025-09-29T16:38:19.370,53248.0,0.0,35088.6875,-17314.28125,-23895.011719,85.054688,0.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,196.0,0.0,-19717.75,-16448.5625,29750.408203,-3332.535156,0.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,196.0,0.0,-18731.84375,-15626.15625,28207.669922,-3166.152344,7146.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,0.0,50176.0,-17991.25,35331.15625,26993.019531,-49838.78125,17178.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,6144.0,8.0,-10947.6875,-16603.40625,19908.703125,2809.160156,20254.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,192.0,8.0,-16352.3125,-15773.21875,24877.009766,2655.619141,21303.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,192.0,8.0,-15534.6875,-14984.5625,23643.283203,2510.310547,22753.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,192.0,8.0,-14757.96875,-14235.34375,22471.267578,2382.670898,22902.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,192.0,4.0,-14020.0625,-13527.578125,21357.830078,2267.803711,22417.0,999.0
1759153099.3705006,2025-09-29T16:38:19.370,16.0,216.0,-13495.0625,-12639.1875,19784.341797,1274.136719,21512.0,1377.0
1759153099.3705006,2025-09-29T16:38:19.370,16.0,216.0,-12820.3125,-12007.234375,15451.126953,883.50293,19602.0,1231.0
1759153099.3705006,2025-09-29T16:38:19.370,16.0,216.0,-12179.28125,-11406.875,11198.022461,512.395508,16523.0,969.0
1759153099.3705006,2025-09-29T16:38:19.370,16.0,216.0,-11570.328125,-10836.53125,7089.333496,159.841797,12903.0,658.0
1759153099.3705006,2025-09-29T16:38:19.370,16.0,0.0,-10991.8125,-10510.703125,3186.067871,26.514648,9094.0,381.0
1759153099.3705006,2025-09-29T16:38:19.370,0.0,0.0,-10458.21875,-9985.171875,-507.105469,-452.673828,5290.0,89.0
1759153099.3705006,2025-09-29T16:38:19.370,200.0,0.0,-9735.3125,-9485.90625,-4218.27832,-430.047852,1537.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,0.0,0.0,-9448.546875,-9011.609375,-3820.430664,-408.547852,0.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,51200.0,0.0,42223.890625,-8561.03125,-51429.152344,-388.118164,0.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,51200.0,3072.0,40112.6875,-5060.984375,-45444.351562,-6580.973633,0.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,48128.0,1024.0,35035.046875,-6855.9375,-37301.195312,-4136.189453,0.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,47104.0,4.0,32259.3125,-7533.140625,-31284.6875,-2909.647461,0.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,184.0,4.0,-16273.65625,-7156.484375,17199.017578,-2764.432617,0.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,184.0,28.0,-15459.96875,-6774.65625,16338.529297,-2648.880859,0.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,196.0,36.0,-14674.96875,-6427.921875,15509.869141,-2522.305664,6448.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,204.0,36.0,-13933.21875,-6106.523438,14738.908203,-2408.192383,10703.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,0.0,9216.0,-13440.5625,3378.796875,14204.902344,-10867.777344,12551.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,52224.0,9216.0,39455.46875,3209.859375,-35248.8125,-9724.390625,1234.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,52224.0,6144.0,37482.6875,-22.632812,-30005.830078,-5770.972168,0.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,12.0,12.0,-16603.4375,-6153.5,23706.1875,650.375,0.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,184.0,12.0,-15601.28125,-5845.828125,22361.160156,618.65918,6518.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,184.0,12.0,-14821.21875,-5553.53125,21242.037109,588.520996,14014.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,184.0,12.0,-14080.15625,-5275.859375,20192.199219,559.898926,17302.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,184.0,28.0,-13376.140625,-4996.0625,15781.515625,517.766602,17637.0,181.0
1759153099.3705006,2025-09-29T16:38:19.370,0.0,1024.0,-12891.34375,-3750.265625,11763.117188,-640.648926,15741.0,62.0
1759153099.3705006,2025-09-29T16:38:19.370,51200.0,1024.0,38953.234375,-3562.75,-39820.25,-608.618652,1140.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,51200.0,1024.0,37005.5625,-3384.609375,-37556.160156,-510.190674,0.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,4.0,0.0,-16040.71875,-4239.382812,15505.650391,539.056152,0.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,5120.0,52224.0,-10122.6875,48196.585938,9943.4375,-48232.164062,0.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,7168.0,7168.0,-7568.53125,730.757812,7863.043945,-289.089569,3709.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,0.0,28.0,-14358.125,-6445.78125,14624.310547,6864.83252,7404.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,28.0,180.0,-13612.203125,-5971.492188,13866.946289,5767.19043,10760.0,0.0
1759153099.3705006,2025-09-29T16:38:19.370,12.0,0.0,-12947.59375,-5852.914062,9708.798828,5044.427734,11264.0,2279.0
1759153099.3705006,2025-09-29T16:38:19.370,3072.0,12.0,-9240.21875,-5548.265625,2886.563477,4371.403809,8828.0,3470.0
1759153099.3705006,2025-09-29T16:38:19.370,196.0,12.0,-11654.203125,-5270.859375,5630.49707,4152.839844,6586.0,3858.0
1759153099.3705006,2025-09-29T16:38:19.370,12.0,196.0,-11255.5,-4823.3125,5521.512695,3773.460938,6091.0,3909.0
1759153099.3705006,2025-09-29T16:38:19.370,0.0,3072.0,-10704.71875,-1706.148438,5245.164551,912.789062,5743.0,3141.0
1759153099.3705006,2025-09-29T16:38:19.370,50176.0,0.0,40006.515625,-4692.84375,-41860.292969,3938.352051,0.0,2790.0
1759153099.3705006,2025-09-29T16:38:19.370,48128.0,4096.0,35958.203125,-362.195312,-34523.023438,-83.371887,0.0,2367.0
1759153099.3705006,2025-09-29T16:38:19.370,48128.0,4096.0,34160.28125,-344.085938,-29588.326172,125.597397,0.0,1216.0
1759153099.3715003,2025-09-29T16:38:19.371,48128.0,4096.0,32452.25,-326.882812,-28313.693359,324.118744,0.0,730.0
1759153099.3715003,2025-09-29T16:38:19.371,48128.0,4096.0,30829.65625,-310.539062,-27102.828125,512.713013,0.0,577.0
1759153099.3715003,2025-09-29T16:38:19.371,48128.0,5120.0,29288.15625,728.984375,-22539.402344,-195.585938,0.0,371.0
1759153099.3715003,2025-09-29T16:38:19.371,47104.0,0.0,26799.75,-4427.460938,-17589.5,1452.5896,0.0,497.0
1759153099.3715003,2025-09-29T16:38:19.371,0.0,0.0,-21644.21875,-4206.085938,29916.089844,902.091553,0.0,831.0
1759153099.3715003,2025-09-29T16:38:19.371,0.0,0.0,-20562.0,-3995.78125,28420.279297,855.120361,9807.0,854.0
1759153099.3715003,2025-09-29T16:38:19.371,0.0,28.0,-19533.90625,-3767.992188,26997.40625,774.231201,18587.0,834.0
1759153099.3715003,2025-09-29T16:38:19.371,212.0,36.0,-18345.21875,-3571.59375,25448.875,729.920898,22332.0,794.0
1759153099.3715003,2025-09-29T16:38:19.371,36.0,0.0,-17603.96875,-3429.015625,24150.042969,728.625977,23542.0,762.0
1759153099.3715003,2025-09-29T16:38:19.371,9216.0,51200.0,-7543.75,47942.4375,14363.853516,-47095.273438,21440.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,9216.0,51200.0,-7166.5625,45545.320312,14259.262695,-41340.25,17943.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,9216.0,5120.0,-6808.25,-2811.953125,14160.714844,6943.305176,16112.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,53248.0,4096.0,37564.15625,-3695.359375,-30374.515625,7893.210449,4233.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,4096.0,52224.0,-13466.03125,44617.40625,17360.722656,-37420.914062,0.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,4096.0,52224.0,-12792.75,42386.546875,13557.239258,-32341.347656,7055.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,4096.0,52224.0,-12153.09375,40267.203125,9943.893555,-27515.730469,9358.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,0.0,0.0,-15641.4375,-13970.15625,10334.164062,25810.988281,9741.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,5120.0,5120.0,-9739.375,-8151.640625,1830.266602,19400.429688,7946.0,4046.0
1759153099.3715003,2025-09-29T16:38:19.371,20.0,204.0,-14352.40625,-12660.0625,3699.821289,23360.011719,5405.0,12548.0
1759153099.3715003,2025-09-29T16:38:19.371,20.0,204.0,-13634.78125,-12027.046875,3516.158203,22205.599609,4523.0,17568.0
1759153099.3715003,2025-09-29T16:38:19.371,20.0,204.0,-12953.046875,-11425.703125,3341.6875,21108.927734,3986.0,19573.0
1759153099.3715003,2025-09-29T16:38:19.371,16.0,212.0,-12309.390625,-10846.421875,3179.666016,20057.751953,3630.0,20068.0
1759153099.3715003,2025-09-29T16:38:19.371,28.0,208.0,-11681.921875,-10308.09375,2996.416992,19070.324219,3364.0,19821.0
1759153099.3715003,2025-09-29T16:38:19.371,28.0,208.0,-11097.828125,-9792.6875,2846.06543,18130.671875,3147.0,19222.0
1759153099.3715003,2025-09-29T16:38:19.371,28.0,208.0,-10542.9375,-9303.0625,2091.229492,13824.681641,2814.0,17631.0
1759153099.3715003,2025-09-29T16:38:19.371,16.0,204.0,-10027.796875,-8841.90625,1385.339844,9737.709961,2286.0,14761.0
1759153099.3715003,2025-09-29T16:38:19.371,24.0,196.0,-9518.40625,-8407.8125,695.271484,8930.558594,1675.0,12099.0
1759153099.3715003,2025-09-29T16:38:19.371,24.0,196.0,-9042.484375,-7987.421875,-2887.759766,8224.030273,315.0,10372.0
1759153099.3715003,2025-09-29T16:38:19.371,24.0,196.0,-8590.359375,-7588.046875,-3014.839844,4344.291992,0.0,8367.0
1759153099.3715003,2025-09-29T16:38:19.371,24.0,196.0,-8160.84375,-7208.640625,-3135.561523,658.540039,0.0,5490.0
1759153099.3715003,2025-09-29T16:38:19.371,24.0,200.0,-7752.796875,-6844.203125,-3250.254883,-2846.658203,0.0,2260.0
1759153099.3715003,2025-09-29T16:38:19.371,4.0,0.0,-7385.15625,-6702.0,-3067.477539,-2504.317383,0.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,1024.0,51200.0,-5995.90625,44833.09375,-4207.162109,-50507.09375,0.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,1024.0,51200.0,-5696.101562,42591.4375,-3929.879883,-44582.007812,0.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,1024.0,1024.0,-5411.296875,-9714.125,-3666.452148,7877.750977,0.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,3072.0,52224.0,-3092.734375,41971.578125,-5327.660156,-40248.132812,0.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,4096.0,52224.0,-1914.09375,39873.015625,-5813.28125,-34768.273438,0.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,4096.0,16.0,-1818.390625,-14328.65625,-5251.415527,19165.359375,0.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,0.0,4096.0,-5823.46875,-9532.21875,-894.713379,14386.287109,0.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,52224.0,0.0,46691.695312,-13151.609375,-49594.234375,17749.107422,0.0,7277.0
1759153099.3715003,2025-09-29T16:38:19.371,3072.0,12.0,-4794.890625,-12482.03125,2241.210938,16836.853516,0.0,12189.0
1759153099.3715003,2025-09-29T16:38:19.371,188.0,12.0,-7439.140625,-11857.921875,5024.078613,15982.737305,0.0,14259.0
1759153099.3715003,2025-09-29T16:38:19.371,0.0,3072.0,-7255.1875,-8205.03125,4959.27832,12315.339844,0.0,14205.0
1759153099.3715003,2025-09-29T16:38:19.371,48128.0,3072.0,41235.578125,-7794.78125,-40209.757812,11891.306641,0.0,13174.0
1759153099.3715003,2025-09-29T16:38:19.371,3072.0,48128.0,-5882.203125,37650.96875,7059.932617,-30563.802734,0.0,2133.0
1759153099.3715003,2025-09-29T16:38:19.371,6144.0,55296.0,-2516.09375,42936.40625,4042.937012,-32530.53125,0.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,7168.0,50176.0,-1366.28125,35669.59375,3294.382812,-22438.947266,0.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,7168.0,28.0,-1297.96875,-16261.875,3539.266113,25419.523438,1587.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,196.0,28.0,-8205.078125,-15448.78125,10279.110352,20737.082031,4197.0,6288.0
1759153099.3715003,2025-09-29T16:38:19.371,196.0,0.0,-7794.8125,-14704.34375,9709.943359,19659.962891,7040.0,13111.0
1759153099.3715003,2025-09-29T16:38:19.371,192.0,24.0,-7409.078125,-13945.125,9036.453125,15172.964844,8184.0,15222.0
1759153099.3715003,2025-09-29T16:38:19.371,208.0,24.0,-7022.625,-13247.875,8309.431641,10934.322266,8424.0,14158.0
1759153099.3715003,2025-09-29T16:38:19.371,208.0,24.0,-6671.492188,-12585.484375,7634.758301,10388.142578,8202.0,12443.0
1759153099.3715003,2025-09-29T16:38:19.371,208.0,0.0,-6337.921875,-11980.21875,7266.891113,9619.676758,7833.0,11246.0
1759153099.3715003,2025-09-29T16:38:19.371,0.0,7168.0,-6229.023438,-4213.203125,3629.944824,2448.555176,6663.0,8690.0
1759153099.3715003,2025-09-29T16:38:19.371,48128.0,7168.0,42210.421875,-4002.546875,-41675.8125,2803.197754,0.0,5715.0
1759153099.3715003,2025-09-29T16:38:19.371,48128.0,7168.0,40099.90625,-3802.40625,-36396.027344,3140.091797,0.0,4369.0
1759153099.3715003,2025-09-29T16:38:19.371,48128.0,7168.0,38094.90625,-3612.296875,-31367.6875,3256.164551,0.0,3795.0
1759153099.3715003,2025-09-29T16:38:19.371,48128.0,3072.0,36190.15625,-7527.671875,-29799.298828,7189.34668,0.0,4495.0
1759153099.3715003,2025-09-29T16:38:19.371,5120.0,52224.0,-8627.34375,42000.703125,14835.191406,-42049.046875,0.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,5120.0,52224.0,-8195.96875,39900.65625,14025.158203,-40151.382812,0.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,5120.0,52224.0,-7786.171875,37905.625,13187.368164,-38007.28125,5461.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,5120.0,52224.0,-7396.875,36010.34375,12391.477539,-32627.1875,9055.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,5120.0,52224.0,-7027.03125,34209.84375,12100.169922,-27516.111328,10620.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,2048.0,51200.0,-9747.671875,31475.34375,14690.620117,-21702.964844,11981.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,3072.0,47104.0,-8236.28125,25805.59375,13124.083008,-13383.167969,12926.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,3072.0,47104.0,-7824.46875,24515.3125,12658.814453,-9575.34082,12909.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,3072.0,47104.0,-7433.25,23289.53125,12216.811523,-5957.892578,12677.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,5120.0,50176.0,-5013.59375,25197.03125,9885.443359,-5386.908203,11880.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,0.0,48128.0,-9882.90625,21889.1875,14511.164062,-338.904297,12036.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,0.0,0.0,-9388.765625,-27333.25,10577.078125,47328.15625,12285.0,8413.0
1759153099.3715003,2025-09-29T16:38:19.371,48128.0,0.0,39208.671875,-25966.59375,-38079.777344,44483.882812,0.0,26802.0
1759153099.3715003,2025-09-29T16:38:19.371,48128.0,1024.0,37248.234375,-23644.25,-36175.78125,40826.078125,0.0,34577.0
1759153099.3715003,2025-09-29T16:38:19.371,53248.0,5120.0,40505.828125,-18366.0625,-39145.664062,34825.335938,0.0,36170.0
1759153099.3715003,2025-09-29T16:38:19.371,47104.0,5120.0,32336.53125,-17447.75,-28245.443359,29943.791016,0.0,34313.0
1759153099.3715003,2025-09-29T16:38:19.371,5120.0,47104.0,-11264.28125,25408.65625,15150.81543,-13878.749023,0.0,21423.0
1759153099.3715003,2025-09-29T16:38:19.371,5120.0,47104.0,-10701.0625,24138.21875,14393.270508,-13526.138672,0.0,4195.0
1759153099.3715003,2025-09-29T16:38:19.371,5120.0,47104.0,-10166.03125,22931.3125,13673.628906,-13191.167969,5675.0,0.0
1759153099.3715003,2025-09-29T16:38:19.371,1024.0,28.0,-13753.71875,-25291.28125,16812.871094,31064.683594,10368.0,2133.0
1759153099.3715003,2025-09-29T16:38:19.371,0.0,7168.0,-14090.03125,-16886.6875,16859.691406,19435.955078,13540.0,13471.0
1759153099.3715003,2025-09-29T16:38:19.371,54272.0,7168.0,40886.46875,-16042.375,-34841.957031,15801.77832,2489.0,15505.0
1759153099.3715003,2025-09-29T16:38:19.371,54272.0,7168.0,38842.15625,-15240.25,-29686.537109,12349.282227,0.0,14804.0
1759153099.3715003,2025-09-29T16:38:19.371,54272.0,1024.0,36900.03125,-20622.25,-24788.859375,14803.830078,0.0,14202.0
1759153099.3715003,2025-09-29T16:38:19.371,20.0,208.0,-19196.96875,-20407.125,30362.582031,11548.427734,0.0,13698.0
1759153099.372501,2025-09-29T16:38:19.372,0.0,5120.0,-18257.125,-14474.78125,28864.457031,3191.819336,9827.0,10594.0
1759153099.372501,2025-09-29T16:38:19.372,53248.0,20.0,35903.75,-18851.03125,-22276.917969,8133.550781,6622.0,8175.0
1759153099.372501,2025-09-29T16:38:19.372,0.0,0.0,-19139.4375,-17928.46875,28876.394531,7746.863281,4992.0,8060.0
1759153099.372501,2025-09-29T16:38:19.372,0.0,0.0,-18182.46875,-17032.0625,24224.046875,7291.269531,15566.0,7794.0
1759153099.372501,2025-09-29T16:38:19.372,0.0,0.0,-17273.34375,-16180.4375,19462.976562,6585.353516,18645.0,7374.0
1759153099.372501,2025-09-29T16:38:19.372,0.0,192.0,-16409.6875,-15179.4375,15349.573242,5735.574219,18037.0,6779.0
1759153099.372501,2025-09-29T16:38:19.372,0.0,0.0,-15589.1875,-14612.46875,14240.746094,2500.530273,16447.0,5473.0
1759153099.372501,2025-09-29T16:38:19.372,0.0,49152.0,-14809.75,35270.15625,13187.395508,-46639.964844,15106.0,0.0
1759153099.372501,2025-09-29T16:38:19.372,0.0,49152.0,-14069.25,33506.65625,12186.681641,-44171.441406,13919.0,0.0
1759153099.372501,2025-09-29T16:38:19.372,4096.0,54272.0,-9269.796875,36951.3125,7686.15625,-43466.59375,11966.0,0.0
1759153099.372501,2025-09-29T16:38:19.372,4096.0,54272.0,-8806.296875,35103.75,7574.905273,-38153.0,9839.0,0.0
1759153099.372501,2025-09-29T16:38:19.372,4096.0,54272.0,-8365.984375,33348.5625,3851.095703,-33105.085938,7815.0,0.0
